"Modem";"Hostname";"MAC Address";"IP address";"Serial Number / CWMP-ID";"Configfile";"Model";"QoS Name";"City";"Street";"Housenr";"Hostname";"Frame ID";"Slot ID";"Port ID";"ONT ID";"Service port ID";"ONT state";"Type";"Geocode origin";"US level / dBmV";"DS level / dBmV";"PHY updated at"
"3249";"ESR1030712337498.gesameter.ch.";"f8:2e:3f:6c:6d:44";"10.1.25.70";"4857544345DF29A8";"Huawei MA5671A-G1";"MA5671A-G1";"MET";"Bulle";"Rue de Vevey";"19";"GESA-ETAN-5800-X7-ASW01";"0";"6";"7";"10";"55730";"active";"OTO_FTTH_FR";"OSM Nominatim";"3";"-17";"2026-01-28 15:51:43.712445+01"
"2106";"";"E0:00:84:D8:A0:02";"";"48575443A3B44F9F";"Huawei EG8010H";"EG8010H";"CAD";"Bulle";"Chemin de Plaisance";"65";"GESA-ETAN-5800-X7-ASW01";"0";"7";"3";"28";"63500";"active";"OTO_FTTH_FR";"n/a";"2";"-19";"2026-01-28 15:51:44.55966+01"
"2355";"";"8C:68:3A:FF:96:6F";"";"48575443E9B3C0A3";"Huawei EG8010H";"EG8010H";"No service";"Bulle";"Rue de l'Etang";"20";"";"";"";"";"";"";"initial";"OTO_STORAGE";"";"";"";""
"2967";"";"08:2F:E9:1F:17:B6";"";"485754431A56F2AE";"Generic ONT";"EG8010H";"No service";"Bulle";"Rue de l'Etang";"20";"";"";"";"";"";"";"initial";"OTO_STORAGE";"";"";"";""
"2063";"";"";"";"48575443EA24C29E";"Huawei EG8010H";"EG8010H";"No service";"Bulle";"Rue de l'Etang";"20";"";"";"";"";"";"";"initial";"OTO_STORAGE";"";"";"";""
"2975";"";"08:2F:E9:1F:04:A8";"";"485754431A54D4AE";"Generic ONT";"EG8010H";"No service";"Bulle";"Rue de l'Etang";"20";"";"";"";"";"";"";"initial";"OTO_STORAGE";"";"";"";""
"3697";"";"6c:6c:0f:c2:f1:46";"";"48575443A2073FB4";"Generic ONT";"S8M600EG01";"No service";"Bulle";"Rue de l'Etang";"20";"";"";"";"";"";"";"initial";"OTO_STORAGE";"";"";"";""
"3792";"";"6c:6c:0f:c2:f0:59";"";"48575443A20652B4";"Generic ONT";"S8M600EG01";"No service";"Bulle";"Rue de l'Etang";"20";"";"";"";"";"";"";"initial";"OTO_STORAGE";"";"";"";""
"3711";"";"6c:6c:0f:c2:f2:ba";"";"48575443A208B3B4";"Generic ONT";"S8M600EG01";"No service";"Bulle";"Rue de l'Etang";"20";"";"";"";"";"";"";"initial";"OTO_STORAGE";"";"";"";""
"3674";"ESR1030712047232.gesameter.ch.";"6c:6c:0f:c2:f3:17";"10.2.30.19";"48575443A20910B4";"OptiXstar S600E";"S8M600EG01";"MET";"Bulle";"Chemin Paul-Messerli";"12";"GESA-PALA-5800-X7-ASW01";"0";"6";"3";"17";"53205";"active";"OTO_FTTH_FR";"OSM Nominatim";"";"";""
