pkey;ref_ouvrage;id_gis;comment;p_nom;sst30;gen_auto;temp_min;ref_profil;profil_libelle;pompe;groupe1;tpambgroupe1;groupe2;groupe3;ecs;direct;sstfulldirect;temp_ext;ref_zone_forcage;zone_forcage_libelle;regul_cad;ref_type_regulateur;regulateur_libelle;regulateur_num
856;3366;;;180;0;1;65;1002;SST2.0-groupe2;0;0;0;0;0;0;0;0;0;2002;ECS-zone2;1;7;SST3.0 V0;1005
858;3367;;;50;0;1;65;1013;SST2.0-groupe13;0;0;0;0;0;0;0;0;1;2013;ECS-zone13;1;7;SST3.0 V0;1005
837;3368;;;40;0;1;65;1010;SST2.0-groupe10;0;0;0;0;0;0;0;0;0;2010;ECS-zone10;0;10;SST3.0 V3;1008
693;39798;191318932;SST 3.0 Michel-Corpataux 11, 1632 RIAZ;700;0;1;65;1006;SST2.0-groupe6;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;12;SST3.0 Multi 2 échangeurs;1010
883;12116;191678674;SST 3.0 Noisetiers 8, 1635 LA TOUR-DE -TREME;70;1;1;65;1013;SST2.0-groupe13;0;0;0;0;0;0;0;0;0;2013;ECS-zone13;1;7;SST3.0 V0;1005
1195;157826;3180533;SST 2.0 Grand-Fin 42, 1638 VUPPENS;8;0;1;65;1004;SST2.0-groupe4;0;1;0;0;0;1;0;0;1;2004;ECS-zone4;1;8;SST3.0 V1;1006
266;39367;235555879;SST 2.0 Monts 29, 1632 RIAZ;40;0;1;65;1016;SST2.0-groupe16;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;4;MR08/12;1002
947;9664;SST_LMB;;2500;1;1;65;1001;SST2.0-groupe1;0;0;0;0;0;0;0;1;0;2001;ECS-zone1;1;0;Non defini;0
897;12441;1517318;SST 2.0 Place Pra 9, 1663 LA TOUR-DE -TREME;10;0;1;65;1009;SST2.0-groupe9;0;1;0;0;0;1;0;0;0;2009;ECS-zone9;1;8;SST3.0 V1;1006
870;11577;9081163;SST 2.0 Etang 15, 1630 BULLE;50;0;1;65;1015;SST2.0-groupe15;0;1;0;0;0;1;0;0;0;2015;ECS-zone15;1;8;SST3.0 V1;1006
873;11690;191232512;SST 2.0 Bouleyres 19, 1630 BULLE;260;0;1;65;1011;SST2.0-groupe11;0;0;0;0;0;0;0;0;0;2000;ECS-Default;1;3;MR07;1001
