ref_techant;ref_obj;technique;ouvrage;champ;libelle_1;libelle_2;unite;frequence;type
5635;4268;ELE DISTR;POSTE ETANG;G14 CHAMP BARBY;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur moyenne
5636;4268;ELE DISTR;POSTE ETANG;G14 CHAMP BARBY;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur minimum
5637;4268;ELE DISTR;POSTE ETANG;G14 CHAMP BARBY;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur maximum
5634;4268;ELE DISTR;POSTE ETANG;G14 CHAMP BARBY;MESURE;P REACTIVE;MVAr;1 MINUTE;Valeur moyenne
28594;31633;ELE DISTR;POSTE ETANG;F06 TRANSFO T03;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur minimum
28592;31633;ELE DISTR;POSTE ETANG;F06 TRANSFO T03;MESURE;P APPARENTE;MVA;1 MINUTE;Valeur moyenne
28593;31633;ELE DISTR;POSTE ETANG;F06 TRANSFO T03;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur moyenne
28595;31633;ELE DISTR;POSTE ETANG;F06 TRANSFO T03;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur maximum
48445;34522;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;DISTRIBUEE;MW;15 MINUTES;Valeur moyenne
18771;162424;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE SOUTIREE;EN POURCENT;%;1 MINUTE;Valeur moyenne
18772;162424;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE SOUTIREE;EN POURCENT;%;15 MINUTES;Valeur moyenne
18773;162424;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE SOUTIREE;EN POURCENT;%;15 MINUTES;Valeur minimum
18774;162424;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE SOUTIREE;EN POURCENT;%;15 MINUTES;Valeur maximum
48444;34522;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;DISTRIBUEE;MW;1 MINUTE;Valeur moyenne
14146;4327;ELE DISTR;POSTE ETANG;H18 TELECOMMANDE;MESURE;TENSION L2_3;kV;1 MINUTE;Valeur moyenne
14154;4327;ELE DISTR;POSTE ETANG;H18 TELECOMMANDE;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur minimum
48446;34522;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;DISTRIBUEE;MW;15 MINUTES;Valeur minimum
48447;34522;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;DISTRIBUEE;MW;15 MINUTES;Valeur maximum
46355;28822;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;APPARENTE TOTALE;MVA;15 MINUTES;Valeur moyenne
46354;28822;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;APPARENTE TOTALE;MVA;1 MINUTE;Valeur moyenne
41075;29447;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;REACTIVE TOTALE;MVAr;15 MINUTES;Valeur maximum
28508;14986;ELE DISTR;POSTE ETANG;E07 CHAMP BARBY 1;MESURE;P APPARENTE;MVA;1 MINUTE;Valeur moyenne
41056;29445;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;ACTIVE TOTALE;MW;1 MINUTE;Valeur moyenne
41058;29445;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;ACTIVE TOTALE;MW;15 MINUTES;Valeur minimum
41059;29445;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;ACTIVE TOTALE;MW;15 MINUTES;Valeur maximum
46356;28822;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;APPARENTE TOTALE;MVA;15 MINUTES;Valeur minimum
46357;28822;ELE DISTR;POSTE ETANG;PUISSANCES;PUISSANCE;APPARENTE TOTALE;MVA;15 MINUTES;Valeur maximum
22867;4635;ELE DISTR;POSTE ETANG;F06 TRANSFO T03;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur moyenne
22868;4635;ELE DISTR;POSTE ETANG;F06 TRANSFO T03;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur minimum
22869;4635;ELE DISTR;POSTE ETANG;F06 TRANSFO T03;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur maximum
28541;14990;ELE DISTR;POSTE ETANG;E09 RESERVE;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur moyenne
28542;14990;ELE DISTR;POSTE ETANG;E09 RESERVE;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur minimum
28543;14990;ELE DISTR;POSTE ETANG;E09 RESERVE;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur maximum
28540;14990;ELE DISTR;POSTE ETANG;E09 RESERVE;MESURE;P APPARENTE;MVA;1 MINUTE;Valeur moyenne
22866;4635;ELE DISTR;POSTE ETANG;F06 TRANSFO T03;MESURE;P REACTIVE;MVAr;1 MINUTE;Valeur moyenne
9154;4296;ELE DISTR;POSTE ETANG;G16 BATTENTIN 25E;MESURE;TENSION L2_3;kV;1 MINUTE;Valeur moyenne
9161;4296;ELE DISTR;POSTE ETANG;G16 BATTENTIN 25E;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur moyenne
28509;14986;ELE DISTR;POSTE ETANG;E07 CHAMP BARBY 1;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur moyenne
14155;4327;ELE DISTR;POSTE ETANG;H18 TELECOMMANDE;MESURE;TENSION L2_3;kV;1 JOUR ;Valeur maximum
23058;6183;ELE DISTR;POSTE ETANG;I23 CHAMP BARBY 2;MESURE;P REACTIVE;MVAr;1 MINUTE;Valeur moyenne
23059;6183;ELE DISTR;POSTE ETANG;I23 CHAMP BARBY 2;MESURE;P REACTIVE;MVAr;15 MINUTES;Valeur moyenne
28511;14986;ELE DISTR;POSTE ETANG;E07 CHAMP BARBY 1;MESURE;P APPARENTE;MVA;15 MINUTES;Valeur maximum
