Nom;Table;nbr
1511115_TempRet;techant5287;120
1511115_PuisCpt;techant5274;120
235554367_TempRet;techant351;120
235554367_PuisCpt;techant18980;120
190207613_TempRet;techant182;120
190207613_PuisCpt;techant19090;120
235557440_TempRet;techant415;120
235557440_PuisCpt;techant19198;120
235557446_TempRet;techant422;120
235557446_PuisCpt;techant16021;120
235557447_TempRet;techant428;120
235557447_PuisCpt;techant20201;120
190199608_TempRet;techant156;120
190199608_PuisCpt;techant19324;120
1511720_TempRet;techant6804;120
1511720_PuisCpt;techant6794;120
235557437_TempRet;techant403;120
235557437_PuisCpt;techant20263;120
235557438_TempRet;techant406;120
235557438_PuisCpt;techant21793;120
235557436_TempRet;techant399;120
235557436_PuisCpt;techant20339;120
235555307_TempRet;techant357;120
235555307_PuisCpt;techant20385;120
235557434_TempRet;techant6508;120
235557434_PuisCpt;techant6495;120
235002503_TempRet;techant18646;120
235002503_PuisCpt;techant18627;120
1511114_TempRet;techant7606;120
1511114_PuisCpt;techant7597;120
1511120_TempRet;techant5215;120
1511120_PuisCpt;techant5203;120
235555612_TempRet;techant360;120
235555612_PuisCpt;techant19064;120
190051813_TempRet;techant150;120
190051813_PuisCpt;techant20003;120
191701768_TempRet;techant300;120
191701768_PuisCpt;techant19358;120
190455610_TempRet;techant245;120
190455610_PuisCpt;techant3211;120
190607049_TempRet;techant262;120
190607049_PuisCpt;techant3124;120
1510708_TempRet;techant6983;120
1510708_PuisCpt;techant6970;120
191205613_TempRet;techant284;120
191205613_PuisCpt;techant18907;120
191688819_TempRet;techant10603;120
191688819_PuisCpt;techant10590;120
191046910_TempRet;techant7008;120
191046910_PuisCpt;techant6999;120
1511181_TempRet;techant7035;120
1511181_PuisCpt;techant7024;120
1510557_TempRet;techant9064;120
1510557_PuisCpt;techant9051;120
191641091_TempRet;techant287;120
191641091_PuisCpt;techant3769;120
2412903_TempRet;techant22234;120
2412903_PuisCpt;techant22197;120
1511053_TempRet;techant18679;120
1511053_PuisCpt;techant18670;120
1511077_TempRet;techant7072;120
1511077_PuisCpt;techant7060;120
191670256_TempRet;techant291;120
191670256_PuisCpt;techant20325;120
1511259_TempRet;techant19836;120
1511259_PuisCpt;techant11238;120
1511919_TempRet;techant4598;120
1511919_PuisCpt;techant4253;120
1511236_TempRet;techant7099;120
1511236_PuisCpt;techant7090;120
1511220_TempRet;techant104;120
1511220_PuisCpt;techant20767;120
1511155_TempRet;techant7641;120
1511155_PuisCpt;techant7626;120
235005363_TempRet;techant21181;120
235005363_PuisCpt;techant21168;120
1511192_TempRet;techant10631;120
1511192_PuisCpt;techant10621;120
1511289_TempRet;techant7137;120
1511289_PuisCpt;techant7128;120
1511425_TempRet;techant13245;120
1511425_PuisCpt;techant13232;120
1511209_TempRet;techant13286;120
1511209_PuisCpt;techant13273;120
9081127_TempRet;techant460;120
9081127_PuisCpt;techant21693;120
1510575_TempRet;techant9112;120
1510575_PuisCpt;techant9099;120
1511203_TempRet;techant9143;120
1511203_PuisCpt;techant9134;120
1511188_TempRet;techant98;120
1511188_PuisCpt;techant19744;120
1510544_TempRet;techant13328;120
1510544_PuisCpt;techant13310;120
1510546_TempRet;techant10666;120
1510546_PuisCpt;techant10657;120
1510547_TempRet;techant10700;120
1510547_PuisCpt;techant10691;120
1510563_TempRet;techant19870;120
1510563_PuisCpt;techant19857;120
1510566_TempRet;techant10729;120
1510566_PuisCpt;techant10716;120
3091183_TempRet;techant18726;120
3091183_PuisCpt;techant18716;120
1510760_TempRet;techant19911;120
1510760_PuisCpt;techant19898;120
1510766_TempRet;techant21231;120
1510766_PuisCpt;techant21219;120
1510774_TempRet;techant19945;120
1510774_PuisCpt;techant19932;120
1510689_TempRet;techant7174;120
1510689_PuisCpt;techant7157;120
1510647_TempRet;techant7200;120
1510647_PuisCpt;techant7190;120
1517201_TempRet;techant13362;120
1517201_PuisCpt;techant13353;120
1517229_TempRet;techant13400;120
1517229_PuisCpt;techant13390;120
1517594_TempRet;techant14698;120
1517594_PuisCpt;techant14685;120
1517433_TempRet;techant13438;120
1517433_PuisCpt;techant13425;120
192009322_TempRet;techant18206;120
192009322_PuisCpt;techant18189;120
1517317_TempRet;techant7673;120
1517317_PuisCpt;techant7660;120
191678651_TempRet;techant18239;120
191678651_PuisCpt;techant18230;120
191682353_TempRet;techant10758;120
191682353_PuisCpt;techant10746;120
1517203_TempRet;techant22273;120
1517203_PuisCpt;techant22260;120
191706911_TempRet;techant13476;120
191706911_PuisCpt;techant13466;120
9063094_TempRet;techant454;120
9063094_PuisCpt;techant20251;120
1510970_TempRet;techant9193;120
1510970_PuisCpt;techant9184;120
191670257_TempRet;techant294;120
191670257_PuisCpt;techant20351;120
191670267_TempRet;techant297;120
191670267_PuisCpt;techant20440;120
190436191_TempRet;techant233;120
190436191_PuisCpt;techant20415;120
235557428_TempRet;techant393;120
235557428_PuisCpt;techant24866;120
9081146_TempRet;techant463;120
9081146_PuisCpt;techant20297;120
190606858_TempRet;techant15772;120
190606858_PuisCpt;techant15740;120
235006927_TempRet;techant344;120
235006927_PuisCpt;techant19400;120
190216134_TempRet;techant198;120
190216134_PuisCpt;techant20525;120
235556812_TempRet;techant383;120
235556812_PuisCpt;techant20553;120
190216197_TempRet;techant201;120
190216197_PuisCpt;techant20647;120
190653848_TempRet;techant271;120
190653848_PuisCpt;techant19460;120
235006912_TempRet;techant341;120
235006912_PuisCpt;techant19554;120
235004710_TempRet;techant328;120
235004710_PuisCpt;techant20757;120
1510558_TempRet;techant94;120
1510558_PuisCpt;techant19009;120
235555161_TempRet;techant354;120
235555161_PuisCpt;techant20867;120
190279808_TempRet;techant204;120
190279808_PuisCpt;techant20913;120
1511248_TempRet;techant107;120
1511248_PuisCpt;techant28213;120
235556771_TempRet;techant20009;120
235556771_PuisCpt;techant19993;120
190475489_TempRet;techant248;120
190475489_PuisCpt;techant20959;120
190214869_TempRet;techant191;120
190214869_PuisCpt;techant21117;120
190444488_TempRet;techant242;120
190444488_PuisCpt;techant21147;120
235557574_TempRet;techant10787;120
235557574_PuisCpt;techant10777;120
235004454_TempRet;techant319;120
235004454_PuisCpt;techant19598;120
235004455_TempRet;techant322;120
235004455_PuisCpt;techant19642;120
190621229_TempRet;techant268;120
190621229_PuisCpt;techant21209;120
191023690_TempRet;techant9224;120
191023690_PuisCpt;techant9207;120
190823130_TempRet;techant13509;120
190823130_PuisCpt;techant13496;120
190193696_TempRet;techant18753;120
190193696_PuisCpt;techant18743;120
235557416_TempRet;techant387;120
235557416_PuisCpt;techant21271;120
235557430_TempRet;techant396;120
235557430_PuisCpt;techant21301;120
190207596_TempRet;techant169;120
190207596_PuisCpt;techant19702;120
190207608_TempRet;techant179;120
190207608_PuisCpt;techant19730;120
235557444_TempRet;techant419;120
235557444_PuisCpt;techant19758;120
235557439_TempRet;techant412;120
235557439_PuisCpt;techant19818;120
191857383_TempRet;techant303;120
191857383_PuisCpt;techant18913;120
9081114_TempRet;techant457;120
9081114_PuisCpt;techant12393;120
191670265_TempRet;techant4736;120
191670265_PuisCpt;techant4727;120
190414508_TempRet;techant207;120
190414508_PuisCpt;techant21515;120
1517592_TempRet;techant13539;120
1517592_PuisCpt;techant13529;120
235555165_TempRet;techant9250;120
235555165_PuisCpt;techant9239;120
235556807_TempRet;techant380;120
235556807_PuisCpt;techant21686;120
191139171_TempRet;techant20065;120
191139171_PuisCpt;techant20056;120
235556806_TempRet;techant377;120
235556806_PuisCpt;techant18990;120
190966330_TempRet;techant281;120
190966330_PuisCpt;techant18903;120
1511276_TempRet;techant114;120
1511276_PuisCpt;techant12398;120
9081158_TempRet;techant470;120
9081158_PuisCpt;techant28246;120
191652907_TempRet;techant15803;120
191652907_PuisCpt;techant15790;120
1510794_TempRet;techant23336;120
1510794_PuisCpt;techant23326;120
1510621_TempRet;techant7228;120
1510621_PuisCpt;techant7219;120
190440154_TempRet;techant236;120
190440154_PuisCpt;techant19974;120
190853709_TempRet;techant278;120
190853709_PuisCpt;techant20034;120
190440168_TempRet;techant239;120
190440168_PuisCpt;techant20078;120
190214867_TempRet;techant188;120
190214867_PuisCpt;techant21745;120
235555971_TempRet;techant374;120
235555971_PuisCpt;techant20279;120
1511110_TempRet;techant6651;120
1511110_PuisCpt;techant6636;120
1511238_TempRet;techant5180;120
1511238_PuisCpt;techant5168;120
160003657_TempRet;techant17847;120
160003657_PuisCpt;techant17837;120
190414511_TempRet;techant230;120
190414511_PuisCpt;techant21801;120
235555970_TempRet;techant20129;120
235555970_PuisCpt;techant20112;120
235555923_TempRet;techant9280;120
235555923_PuisCpt;techant9270;120
235555929_TempRet;techant9316;120
235555929_PuisCpt;techant9305;120
190198380_TempRet;techant153;120
190198380_PuisCpt;techant24896;120
191678632.b_TempRet;techant17887;120
191678632.b_PuisCpt;techant17878;120
190204214_TempRet;techant159;120
190204214_PuisCpt;techant24924;120
235006808_TempRet;techant338;120
235006808_PuisCpt;techant24914;120
1511287_TempRet;techant120;120
1511287_PuisCpt;techant24952;120
1511423_TempRet;techant127;120
1511423_PuisCpt;techant24982;120
235555926_TempRet;techant367;120
