Nom;Table;nbr
1511115_PuisCpt;techant5274;120
235554367_PuisCpt;techant18980;120
190207613_PuisCpt;techant19090;120
235557440_PuisCpt;techant19198;120
235557446_PuisCpt;techant16021;120
235557447_PuisCpt;techant20201;120
190199608_PuisCpt;techant19324;120
1511720_PuisCpt;techant6794;120
235557437_PuisCpt;techant20263;120
235557438_PuisCpt;techant21793;120
235557436_PuisCpt;techant20339;120
235555307_PuisCpt;techant20385;120
235557434_PuisCpt;techant6495;120
235002503_PuisCpt;techant18627;120
1511114_PuisCpt;techant7597;120
1511120_PuisCpt;techant5203;120
235555612_PuisCpt;techant19064;120
190051813_PuisCpt;techant20003;120
191701768_PuisCpt;techant19358;120
190455610_PuisCpt;techant3211;120
190607049_PuisCpt;techant3124;120
1510708_PuisCpt;techant6970;120
191205613_PuisCpt;techant18907;120
191688819_PuisCpt;techant10590;120
191046910_PuisCpt;techant6999;120
1511181_PuisCpt;techant7024;120
1510557_PuisCpt;techant9051;120
191641091_PuisCpt;techant3769;120
2412903_PuisCpt;techant22197;120
1511053_PuisCpt;techant18670;120
1511077_PuisCpt;techant7060;120
191670256_PuisCpt;techant20325;120
1511259_PuisCpt;techant11238;120
1511919_PuisCpt;techant4253;120
1511236_PuisCpt;techant7090;120
1511220_PuisCpt;techant20767;120
1511155_PuisCpt;techant7626;120
235005363_PuisCpt;techant21168;120
1511192_PuisCpt;techant10621;120
1511289_PuisCpt;techant7128;120
1511425_PuisCpt;techant13232;120
1511209_PuisCpt;techant13273;120
9081127_PuisCpt;techant21693;120
1510575_PuisCpt;techant9099;120
1511203_PuisCpt;techant9134;120
1511188_PuisCpt;techant19744;120
1510544_PuisCpt;techant13310;120
1510546_PuisCpt;techant10657;120
1510547_PuisCpt;techant10691;120
1510563_PuisCpt;techant19857;120
1510566_PuisCpt;techant10716;120
3091183_PuisCpt;techant18716;120
1510760_PuisCpt;techant19898;120
1510766_PuisCpt;techant21219;120
1510774_PuisCpt;techant19932;120
1510689_PuisCpt;techant7157;120
1510647_PuisCpt;techant7190;120
1517201_PuisCpt;techant13353;120
1517229_PuisCpt;techant13390;120
1517594_PuisCpt;techant14685;120
1517433_PuisCpt;techant13425;120
192009322_PuisCpt;techant18189;120
1517317_PuisCpt;techant7660;120
191678651_PuisCpt;techant18230;120
191682353_PuisCpt;techant10746;120
1517203_PuisCpt;techant22260;120
191706911_PuisCpt;techant13466;120
9063094_PuisCpt;techant20251;120
1510970_PuisCpt;techant9184;120
191670257_PuisCpt;techant20351;120
191670267_PuisCpt;techant20440;120
190436191_PuisCpt;techant20415;120
235557428_PuisCpt;techant24866;120
9081146_PuisCpt;techant20297;120
190606858_PuisCpt;techant15740;120
235006927_PuisCpt;techant19400;120
190216134_PuisCpt;techant20525;120
235556812_PuisCpt;techant20553;120
190216197_PuisCpt;techant20647;120
190653848_PuisCpt;techant19460;120
235006912_PuisCpt;techant19554;120
235004710_PuisCpt;techant20757;120
1510558_PuisCpt;techant19009;120
235555161_PuisCpt;techant20867;120
190279808_PuisCpt;techant20913;120
1511248_PuisCpt;techant28213;120
235556771_PuisCpt;techant19993;120
190475489_PuisCpt;techant20959;120
190214869_PuisCpt;techant21117;120
190444488_PuisCpt;techant21147;120
235557574_PuisCpt;techant10777;120
235004454_PuisCpt;techant19598;120
235004455_PuisCpt;techant19642;120
190621229_PuisCpt;techant21209;120
191023690_PuisCpt;techant9207;120
190823130_PuisCpt;techant13496;120
190193696_PuisCpt;techant18743;120
235557416_PuisCpt;techant21271;120
235557430_PuisCpt;techant21301;120
190207596_PuisCpt;techant19702;120
190207608_PuisCpt;techant19730;120
235557444_PuisCpt;techant19758;120
235557439_PuisCpt;techant19818;120
191857383_PuisCpt;techant18913;120
9081114_PuisCpt;techant12393;120
191670265_PuisCpt;techant4727;120
190414508_PuisCpt;techant21515;120
1517592_PuisCpt;techant13529;120
235555165_PuisCpt;techant9239;120
235556807_PuisCpt;techant21686;120
191139171_PuisCpt;techant20056;120
235556806_PuisCpt;techant18990;120
190966330_PuisCpt;techant18903;120
1511276_PuisCpt;techant12398;120
9081158_PuisCpt;techant28246;120
191652907_PuisCpt;techant15790;120
1510794_PuisCpt;techant23326;120
1510621_PuisCpt;techant7219;120
190440154_PuisCpt;techant19974;120
190853709_PuisCpt;techant20034;120
190440168_PuisCpt;techant20078;120
190214867_PuisCpt;techant21745;120
235555971_PuisCpt;techant20279;120
1511110_PuisCpt;techant6636;120
1511238_PuisCpt;techant5168;120
160003657_PuisCpt;techant17837;120
190414511_PuisCpt;techant21801;120
235555970_PuisCpt;techant20112;120
235555923_PuisCpt;techant9270;120
235555929_PuisCpt;techant9305;120
190198380_PuisCpt;techant24896;120
191678632.b_PuisCpt;techant17878;120
190204214_PuisCpt;techant24924;120
235006808_PuisCpt;techant24914;120
1511287_PuisCpt;techant24952;120
1511423_PuisCpt;techant24982;120
235555926_PuisCpt;techant20874;120
1510828_PuisCpt;techant20156;120
235555947_PuisCpt;techant9335;120
3091272_PuisCpt;techant10804;120
190607088_PuisCpt;techant3610;120
1510591_PuisCpt;techant9365;120
1510605_PuisCpt;techant12607;120
1510594_PuisCpt;techant13566;120
1510593_PuisCpt;techant12478;120
235004711_PuisCpt;techant22287;120
1511620_PuisCpt;techant7290;120
191257930_PuisCpt;techant9392;120
1511262_PuisCpt;techant18901;120
191697337_PuisCpt;techant7319;120
191780731_PuisCpt;techant13603;120
191768177_PuisCpt;techant1474;120
1510772_PuisCpt;techant21255;120
1510839_PuisCpt;techant21308;120
9015340_PuisCpt;techant15834;120
1517342_PuisCpt;techant17913;120
1511061_PuisCpt;techant7354;120
1511062_PuisCpt;techant7385;120
1511063_PuisCpt;techant7418;120
1511066_PuisCpt;techant7453;120
1511067_PuisCpt;techant7484;120
191652911_PuisCpt;techant15872;120
1517151_PuisCpt;techant15910;120
9081167_PuisCpt;techant5819;120
3092138_PuisCpt;techant13637;120
235002225_PuisCpt;techant36772;120
190994831_PuisCpt;techant1503;120
191757478_PuisCpt;techant21079;120
191769038_PuisCpt;techant21345;120
235002563_PuisCpt;techant36790;120
190206180_PuisCpt;techant20400;120
191858178_PuisCpt;techant20216;120
160002218_PuisCpt;techant18873;120
1517270_PuisCpt;techant13678;120
1510840_PuisCpt;techant20308;120
3092153_PuisCpt;techant13711;120
1517157_PuisCpt;techant13752;120
1517158_PuisCpt;techant15950;120
1517136_PuisCpt;techant13789;120
191677896_PuisCpt;techant9429;120
1511109_PuisCpt;techant10845;120
1511108_PuisCpt;techant16481;120
3091353_PuisCpt;techant9468;120
191769057_PuisCpt;techant13830;120
235001379_PuisCpt;techant10876;120
3092139_PuisCpt;techant13864;120
1517408_PuisCpt;techant12647;120
1517454_PuisCpt;techant18392;120
160001213_PuisCpt;techant20540;120
160001217_PuisCpt;techant28283;120
3091384_PuisCpt;techant28344;120
3091382_PuisCpt;techant28819;120
160001211_PuisCpt;techant33379;120
3091209_PuisCpt;techant33398;120
235005964_PuisCpt;techant19481;120
1517373_PuisCpt;techant7726;120
1517430_PuisCpt;techant18426;120
191858179_PuisCpt;techant18918;120
235557798_PuisCpt;techant10907;120
1511887_PuisCpt;techant21129;120
1511135_PuisCpt;techant3603;120
191857385_PuisCpt;techant22164;120
235557417_PuisCpt;techant5849;120
235005988_PuisCpt;techant5877;120
235005374_PuisCpt;techant21388;120
1517366_PuisCpt;techant9508;120
190508008_PuisCpt;techant20615;120
190619749_PuisCpt;techant5902;120
1511261_PuisCpt;techant13904;120
190614214_PuisCpt;techant18454;120
190207496_PuisCpt;techant6556;120
235004466_PuisCpt;techant24873;120
1511432_PuisCpt;techant33417;120
9081156_PuisCpt;techant9547;120
1510739_PuisCpt;techant6822;120
1510741_PuisCpt;techant6887;120
1510743_PuisCpt;techant6915;120
1510744_PuisCpt;techant21427;120
191876560_PuisCpt;techant36836;120
191858180_PuisCpt;techant20406;120
3091168_PuisCpt;techant9574;120
190607088.b_PuisCpt;techant1724;120
502172326_PuisCpt;techant9606;120
1511305_PuisCpt;techant17950;120
190051816_PuisCpt;techant5963;120
9015353_PuisCpt;techant5994;120
3091338_PuisCpt;techant16517;120
3091339_PuisCpt;techant21475;120
3091330_PuisCpt;techant23364;120
1510482_PuisCpt;techant9633;120
1510640_PuisCpt;techant9666;120
235003643_PuisCpt;techant20468;120
1510646_PuisCpt;techant9703;120
3091364_PuisCpt;techant13945;120
1517649_PuisCpt;techant13980;120
1517650_PuisCpt;techant14013;120
1517651_PuisCpt;techant14048;120
1517652_PuisCpt;techant14089;120
1511098_PuisCpt;techant9739;120
3091347_PuisCpt;techant20506;120
3091345_PuisCpt;techant20585;120
1511260_PuisCpt;techant18955;120
3091245_PuisCpt;techant7532;120
3091386_PuisCpt;techant10940;120
1511288_PuisCpt;techant9771;120
1511810_PuisCpt;techant10977;120
235002243_PuisCpt;techant20636;120
160003652_PuisCpt;techant20701;120
235001878_PuisCpt;techant20742;120
235002858_PuisCpt;techant20792;120
191966656_PuisCpt;techant11010;120
191955715_PuisCpt;techant9813;120
3091141_PuisCpt;techant22112;120
1511149_PuisCpt;techant11041;120
191977459_PuisCpt;techant9855;120
191732322_PuisCpt;techant9889;120
191732333_PuisCpt;techant9929;120
191732451_PuisCpt;techant21531;120
191732301_PuisCpt;techant14126;120
1517315_PuisCpt;techant14167;120
160001283_PuisCpt;techant14204;120
3092184_PuisCpt;techant14239;120
3092181_PuisCpt;techant14277;120
3092180_PuisCpt;techant14313;120
3092179_PuisCpt;techant14350;120
3092197_PuisCpt;techant14387;120
1510725_PuisCpt;techant22309;120
235004706_PuisCpt;techant9997;120
3091187_PuisCpt;techant15997;120
3091188_PuisCpt;techant16046;120
