Nom;Table;nbr
1511115_TempRet;techant5287;120
1511115_TempRet;techant5278;120
235554367_TempRet;techant351;120
235554367_TempRet;techant867;120
190207613_TempRet;techant182;120
190207613_TempRet;techant714;120
235557440_TempRet;techant415;120
235557440_TempRet;techant934;120
235557446_TempRet;techant422;120
235557446_TempRet;techant944;120
235557447_TempRet;techant428;120
235557447_TempRet;techant947;120
190199608_TempRet;techant156;120
190199608_TempRet;techant685;120
1511720_TempRet;techant6804;120
1511720_TempRet;techant6797;120
235557437_TempRet;techant403;120
235557437_TempRet;techant925;120
235557438_TempRet;techant406;120
235557438_TempRet;techant928;120
235557436_TempRet;techant399;120
235557436_TempRet;techant918;120
235555307_TempRet;techant357;120
235555307_TempRet;techant877;120
235557434_TempRet;techant6508;120
235557434_TempRet;techant6502;120
235002503_TempRet;techant18646;120
235002503_TempRet;techant18630;120
1511114_TempRet;techant7606;120
1511114_TempRet;techant7600;120
1511120_TempRet;techant5215;120
1511120_TempRet;techant5206;120
235555612_TempRet;techant360;120
235555612_TempRet;techant880;120
190051813_TempRet;techant150;120
190051813_TempRet;techant679;120
191701768_TempRet;techant300;120
191701768_TempRet;techant816;120
190455610_TempRet;techant245;120
190455610_TempRet;techant758;120
190607049_TempRet;techant262;120
190607049_TempRet;techant771;120
1510708_TempRet;techant6983;120
1510708_TempRet;techant6973;120
191205613_TempRet;techant284;120
191205613_TempRet;techant797;120
191688819_TempRet;techant10603;120
191688819_TempRet;techant10593;120
191046910_TempRet;techant7008;120
191046910_TempRet;techant7002;120
1511181_TempRet;techant7035;120
1511181_TempRet;techant7029;120
1510557_TempRet;techant9064;120
1510557_TempRet;techant9054;120
191641091_TempRet;techant287;120
191641091_TempRet;techant800;120
2412903_TempRet;techant22234;120
2412903_TempRet;techant22200;120
1511053_TempRet;techant18679;120
1511053_TempRet;techant18673;120
1511077_TempRet;techant7072;120
1511077_TempRet;techant7066;120
191670256_TempRet;techant291;120
191670256_TempRet;techant807;120
1511259_TempRet;techant19836;120
1511259_TempRet;techant19827;120
1511919_TempRet;techant4598;120
1511919_TempRet;techant4256;120
1511236_TempRet;techant7099;120
1511236_TempRet;techant7093;120
1511220_TempRet;techant104;120
1511220_TempRet;techant637;120
1511155_TempRet;techant7641;120
1511155_TempRet;techant7630;120
235005363_TempRet;techant21181;120
235005363_TempRet;techant21175;120
1511192_TempRet;techant10631;120
1511192_TempRet;techant10624;120
1511289_TempRet;techant7137;120
1511289_TempRet;techant7131;120
1511425_TempRet;techant13245;120
1511425_TempRet;techant13236;120
1511209_TempRet;techant13286;120
1511209_TempRet;techant13276;120
9081127_TempRet;techant460;120
9081127_TempRet;techant979;120
1510575_TempRet;techant9112;120
1510575_TempRet;techant9106;120
1511203_TempRet;techant9143;120
1511203_TempRet;techant9137;120
1511188_TempRet;techant98;120
1511188_TempRet;techant634;120
1510544_TempRet;techant13328;120
1510544_TempRet;techant13313;120
1510546_TempRet;techant10666;120
1510546_TempRet;techant10660;120
1510547_TempRet;techant10700;120
1510547_TempRet;techant10694;120
1510563_TempRet;techant19870;120
1510563_TempRet;techant19864;120
1510566_TempRet;techant10729;120
1510566_TempRet;techant10720;120
3091183_TempRet;techant18726;120
3091183_TempRet;techant18719;120
1510760_TempRet;techant19911;120
1510760_TempRet;techant19901;120
1510766_TempRet;techant21231;120
1510766_TempRet;techant21225;120
1510774_TempRet;techant19945;120
1510774_TempRet;techant19935;120
1510689_TempRet;techant7174;120
1510689_TempRet;techant7160;120
1510647_TempRet;techant7200;120
1510647_TempRet;techant7193;120
1517201_TempRet;techant13362;120
1517201_TempRet;techant13356;120
1517229_TempRet;techant13400;120
1517229_TempRet;techant13393;120
1517594_TempRet;techant14698;120
1517594_TempRet;techant14689;120
1517433_TempRet;techant13438;120
1517433_TempRet;techant13432;120
192009322_TempRet;techant18206;120
192009322_TempRet;techant18200;120
1517317_TempRet;techant7673;120
1517317_TempRet;techant7663;120
191678651_TempRet;techant18239;120
191678651_TempRet;techant18233;120
191682353_TempRet;techant10758;120
191682353_TempRet;techant10750;120
1517203_TempRet;techant22273;120
1517203_TempRet;techant22263;120
191706911_TempRet;techant13476;120
191706911_TempRet;techant13469;120
9063094_TempRet;techant454;120
9063094_TempRet;techant973;120
1510970_TempRet;techant9193;120
1510970_TempRet;techant9187;120
191670257_TempRet;techant294;120
191670257_TempRet;techant810;120
191670267_TempRet;techant297;120
191670267_TempRet;techant813;120
190436191_TempRet;techant233;120
190436191_TempRet;techant743;120
235557428_TempRet;techant393;120
235557428_TempRet;techant912;120
9081146_TempRet;techant463;120
9081146_TempRet;techant982;120
190606858_TempRet;techant15772;120
190606858_TempRet;techant15750;120
235006927_TempRet;techant344;120
235006927_TempRet;techant864;120
190216134_TempRet;techant198;120
190216134_TempRet;techant724;120
235556812_TempRet;techant383;120
235556812_TempRet;techant906;120
190216197_TempRet;techant201;120
190216197_TempRet;techant727;120
