Nom;Table;nbr
1511115_TempRet;techant5278;120
1511115_PosVan;techant5284;120
235554367_TempRet;techant867;120
235554367_PosVan;techant18988;120
190207613_TempRet;techant714;120
190207613_PosVan;techant19092;120
235557440_TempRet;techant934;120
235557440_PosVan;techant19200;120
235557446_TempRet;techant944;120
235557446_PosVan;techant16024;120
235557447_TempRet;techant947;120
235557447_PosVan;techant20203;120
190199608_TempRet;techant685;120
190199608_PosVan;techant19326;120
1511720_TempRet;techant6797;120
1511720_PosVan;techant6800;120
235557437_TempRet;techant925;120
235557437_PosVan;techant20265;120
235557438_TempRet;techant928;120
235557438_PosVan;techant21926;120
235557436_TempRet;techant918;120
235557436_PosVan;techant20341;120
235555307_TempRet;techant877;120
235555307_PosVan;techant20387;120
235557434_TempRet;techant6502;120
235557434_PosVan;techant6505;120
235002503_TempRet;techant18630;120
235002503_PosVan;techant18633;120
1511114_TempRet;techant7600;120
1511114_PosVan;techant7603;120
1511120_TempRet;techant5206;120
1511120_PosVan;techant5212;120
235555612_TempRet;techant880;120
235555612_PosVan;techant19235;120
190051813_TempRet;techant679;120
190051813_PosVan;techant20005;120
191701768_TempRet;techant816;120
191701768_PosVan;techant19674;120
190455610_TempRet;techant758;120
190455610_PosVan;techant19444;120
190455610_PosVan;techant19445;120
190455610_PosVan;techant19446;120
190607049_TempRet;techant771;120
190607049_PosVan;techant3126;120
1510708_TempRet;techant6973;120
1510708_PosVan;techant6976;120
191205613_TempRet;techant797;120
191205613_PosVan;techant19012;120
191688819_TempRet;techant10593;120
191688819_PosVan;techant10597;120
191046910_TempRet;techant7002;120
191046910_PosVan;techant7005;120
1511181_TempRet;techant7029;120
1511181_PosVan;techant7032;120
1510557_TempRet;techant9054;120
1510557_PosVan;techant9057;120
191641091_TempRet;techant800;120
191641091_PosVan;techant3773;120
2412903_TempRet;techant22200;120
2412903_PosVan;techant22228;120
1511053_TempRet;techant18673;120
1511053_PosVan;techant18676;120
1511077_TempRet;techant7066;120
1511077_PosVan;techant7069;120
191670256_TempRet;techant807;120
191670256_PosVan;techant20327;120
1511259_TempRet;techant19827;120
1511259_PosVan;techant19830;120
1511919_TempRet;techant4256;120
1511919_PosVan;techant4595;120
1511236_TempRet;techant7093;120
1511236_PosVan;techant7096;120
1511220_TempRet;techant637;120
1511220_PosVan;techant20802;120
1511155_TempRet;techant7630;120
1511155_PosVan;techant7638;120
235005363_TempRet;techant21175;120
235005363_PosVan;techant21178;120
1511192_TempRet;techant10624;120
1511192_PosVan;techant10628;120
1511289_TempRet;techant7131;120
1511289_PosVan;techant7134;120
1511425_TempRet;techant13236;120
1511425_PosVan;techant13242;120
1511209_TempRet;techant13276;120
1511209_PosVan;techant13279;120
9081127_TempRet;techant979;120
9081127_PosVan;techant21696;120
1510575_TempRet;techant9106;120
1510575_PosVan;techant9109;120
1511203_TempRet;techant9137;120
1511203_PosVan;techant9140;120
1511188_TempRet;techant634;120
1511188_PosVan;techant19747;120
1510544_TempRet;techant13313;120
1510544_PosVan;techant13325;120
1510546_TempRet;techant10660;120
1510546_PosVan;techant10663;120
1510547_TempRet;techant10694;120
1510547_PosVan;techant10697;120
1510563_TempRet;techant19864;120
1510563_PosVan;techant19867;120
1510566_TempRet;techant10720;120
1510566_PosVan;techant10725;120
3091183_TempRet;techant18719;120
3091183_PosVan;techant18723;120
1510760_TempRet;techant19901;120
1510760_PosVan;techant19904;120
1510766_TempRet;techant21225;120
1510766_PosVan;techant21228;120
1510774_TempRet;techant19935;120
1510774_PosVan;techant19942;120
1510689_TempRet;techant7160;120
1510689_PosVan;techant7163;120
1510647_TempRet;techant7193;120
1510647_PosVan;techant7196;120
1517201_TempRet;techant13356;120
1517201_PosVan;techant13359;120
1517229_TempRet;techant13393;120
1517229_PosVan;techant13397;120
1517594_TempRet;techant14689;120
1517594_PosVan;techant14695;120
1517433_TempRet;techant13432;120
1517433_PosVan;techant13435;120
192009322_TempRet;techant18200;120
192009322_PosVan;techant18203;120
1517317_TempRet;techant7663;120
1517317_PosVan;techant7667;120
191678651_TempRet;techant18233;120
191678651_PosVan;techant18236;120
191682353_TempRet;techant10750;120
191682353_PosVan;techant10755;120
1517203_TempRet;techant22263;120
1517203_PosVan;techant22267;120
191706911_TempRet;techant13469;120
191706911_PosVan;techant13472;120
9063094_TempRet;techant973;120
9063094_PosVan;techant20268;120
1510970_TempRet;techant9187;120
1510970_PosVan;techant9190;120
191670257_TempRet;techant810;120
191670257_PosVan;techant20353;120
191670267_TempRet;techant813;120
191670267_PosVan;techant20442;120
190436191_TempRet;techant743;120
190436191_PosVan;techant20417;120
235557428_TempRet;techant912;120
235557428_PosVan;techant24868;120
9081146_TempRet;techant982;120
9081146_PosVan;techant20298;120
190606858_TempRet;techant15750;120
190606858_PosVan;techant15759;120
235006927_TempRet;techant864;120
235006927_PosVan;techant19402;120
190216134_TempRet;techant724;120
190216134_PosVan;techant20527;120
235556812_TempRet;techant906;120
235556812_PosVan;techant20555;120
190216197_TempRet;techant727;120
190216197_PosVan;techant20649;120
190653848_TempRet;techant784;120
190653848_PosVan;techant19462;120
235006912_TempRet;techant861;120
235006912_PosVan;techant19556;120
235004710_TempRet;techant848;120
235004710_PosVan;techant20759;120
1510558_TempRet;techant628;120
1510558_PosVan;techant19017;120
235555161_TempRet;techant870;120
235555161_PosVan;techant20869;120
190279808_TempRet;techant733;120
190279808_PosVan;techant20915;120
1511248_TempRet;techant640;120
1511248_PosVan;techant28216;120
235556771_TempRet;techant19996;120
235556771_PosVan;techant19999;120
190475489_TempRet;techant765;120
190475489_PosVan;techant20961;120
190214869_TempRet;techant720;120
190214869_PosVan;techant21119;120
190444488_TempRet;techant755;120
190444488_PosVan;techant21149;120
235557574_TempRet;techant10780;120
235557574_PosVan;techant10783;120
235004454_TempRet;techant839;120
235004454_PosVan;techant19600;120
235004455_TempRet;techant842;120
235004455_PosVan;techant19644;120
190621229_TempRet;techant781;120
190621229_PosVan;techant21211;120
191023690_TempRet;techant9210;120
191023690_PosVan;techant9217;120
190823130_TempRet;techant13502;120
190823130_PosVan;techant13505;120
190193696_TempRet;techant18746;120
190193696_PosVan;techant18749;120
235557416_TempRet;techant909;120
235557416_PosVan;techant21273;120
235557430_TempRet;techant915;120
235557430_PosVan;techant21303;120
190207596_TempRet;techant698;120
190207596_PosVan;techant19704;120
190207608_TempRet;techant711;120
190207608_PosVan;techant19732;120
235557444_TempRet;techant941;120
235557444_PosVan;techant19760;120
235557439_TempRet;techant931;120
235557439_PosVan;techant19820;120
191857383_TempRet;techant819;120
191857383_PosVan;techant19016;120
9081114_TempRet;techant976;120
9081114_PosVan;techant12483;120
191670265_TempRet;techant4730;120
191670265_PosVan;techant4733;120
190414508_TempRet;techant736;120
190414508_PosVan;techant21517;120
1517592_TempRet;techant13532;120
1517592_PosVan;techant13535;120
235555165_TempRet;techant9242;120
235555165_PosVan;techant9246;120
235556807_TempRet;techant903;120
235556807_PosVan;techant21688;120
191139171_TempRet;techant20059;120
191139171_PosVan;techant20062;120
235556806_TempRet;techant896;120
235556806_PosVan;techant19000;120
190966330_TempRet;techant790;120
190966330_PosVan;techant19018;120
1511276_TempRet;techant650;120
1511276_PosVan;techant12484;120
9081158_TempRet;techant989;120
9081158_PosVan;techant28249;120
191652907_TempRet;techant15793;120
191652907_PosVan;techant15800;120
1510794_TempRet;techant23329;120
1510794_PosVan;techant23333;120
1510621_TempRet;techant7222;120
1510621_PosVan;techant7225;120
190440154_TempRet;techant749;120
190440154_PosVan;techant19976;120
190853709_TempRet;techant787;120
190853709_PosVan;techant20036;120
190440168_TempRet;techant752;120
190440168_PosVan;techant20080;120
190214867_TempRet;techant717;120
190214867_PosVan;techant21747;120
235555971_TempRet;techant893;120
235555971_PosVan;techant20282;120
1511110_TempRet;techant6640;120
1511110_PosVan;techant6648;120
1511238_TempRet;techant5174;120
1511238_PosVan;techant5177;120
160003657_TempRet;techant17840;120
160003657_PosVan;techant17844;120
190414511_TempRet;techant740;120
190414511_PosVan;techant21803;120
235555970_TempRet;techant20115;120
235555970_PosVan;techant20119;120
235555923_TempRet;techant9273;120
235555923_PosVan;techant9276;120
235555929_TempRet;techant9308;120
235555929_PosVan;techant9311;120
190198380_TempRet;techant682;120
190198380_PosVan;techant24898;120
191678632.b_TempRet;techant17881;120
191678632.b_PosVan;techant17884;120
190204214_TempRet;techant688;120
190204214_PosVan;techant24926;120
235006808_TempRet;techant858;120
235006808_PosVan;techant24916;120
1511287_TempRet;techant653;120
1511287_PosVan;techant24954;120
1511423_TempRet;techant656;120
1511423_PosVan;techant24984;120
235555926_TempRet;techant887;120
235555926_PosVan;techant20877;120
1510828_TempRet;techant20159;120
1510828_PosVan;techant20166;120
235555947_TempRet;techant9338;120
235555947_PosVan;techant9341;120
3091272_TempRet;techant10807;120
3091272_PosVan;techant10810;120
190607088_TempRet;techant774;120
190607088_PosVan;techant19447;120
190607088_PosVan;techant19409;120
190607088_PosVan;techant19442;120
1510591_TempRet;techant9368;120
1510591_PosVan;techant9374;120
1510605_TempRet;techant12614;120
1510605_PosVan;techant12617;120
1510594_TempRet;techant13569;120
1510594_PosVan;techant13572;120
1510593_TempRet;techant12481;120
1510593_PosVan;techant12486;120
235004711_TempRet;techant852;120
235004711_PosVan;techant22289;120
1511620_TempRet;techant7293;120
1511620_PosVan;techant7296;120
191257930_TempRet;techant9398;120
191257930_PosVan;techant9401;120
1511262_TempRet;techant644;120
1511262_PosVan;techant19014;120
191697337_TempRet;techant7322;120
191697337_PosVan;techant7326;120
191780731_TempRet;techant13606;120
191780731_PosVan;techant13613;120
191768177_TempRet;techant1477;120
191768177_PosVan;techant1480;120
1510772_TempRet;techant21258;120
1510772_PosVan;techant21261;120
1510839_TempRet;techant21311;120
1510839_PosVan;techant21318;120
9015340_TempRet;techant15837;120
9015340_PosVan;techant15840;120
1517342_TempRet;techant17916;120
1517342_PosVan;techant17919;120
1511061_TempRet;techant7357;120
1511061_PosVan;techant7360;120
1511062_TempRet;techant7388;120
1511062_PosVan;techant7392;120
1511063_TempRet;techant7422;120
1511063_PosVan;techant7428;120
1511066_TempRet;techant7456;120
1511066_PosVan;techant7461;120
1511067_TempRet;techant7488;120
1511067_PosVan;techant7494;120
191652911_TempRet;techant15876;120
191652911_PosVan;techant15879;120
1517151_TempRet;techant15916;120
1517151_PosVan;techant15919;120
9081167_TempRet;techant5822;120
9081167_PosVan;techant5825;120
3092138_TempRet;techant13641;120
3092138_PosVan;techant13647;120
235002225_TempRet;techant829;120
235002225_PosVan;techant36774;120
190994831_TempRet;techant1616;120
190994831_PosVan;techant1651;120
191757478_TempRet;techant21070;120
191769038_TempRet;techant21349;120
191769038_PosVan;techant21355;120
235002563_TempRet;techant832;120
235002563_PosVan;techant36792;120
190206180_TempRet;techant692;120
190206180_PosVan;techant20403;120
191858178_TempRet;techant20219;120
191858178_PosVan;techant20222;120
160002218_TempRet;techant18876;120
160002218_PosVan;techant18879;120
1517270_TempRet;techant13681;120
1517270_PosVan;techant13685;120
1510840_TempRet;techant20311;120
1510840_PosVan;techant20314;120
3092153_TempRet;techant13718;120
3092153_PosVan;techant13721;120
1517157_TempRet;techant13755;120
1517157_PosVan;techant13758;120
1517158_TempRet;techant15953;120
1517158_PosVan;techant15960;120
1517136_TempRet;techant13792;120
1517136_PosVan;techant13795;120
191677896_TempRet;techant9432;120
191677896_PosVan;techant9435;120
1511109_TempRet;techant10848;120
1511109_PosVan;techant10853;120
1511108_TempRet;techant16485;120
1511108_PosVan;techant16488;120
3091353_TempRet;techant9472;120
3091353_PosVan;techant9476;120
191769057_TempRet;techant13833;120
191769057_PosVan;techant13836;120
235001379_TempRet;techant10880;120
235001379_PosVan;techant10885;120
3092139_TempRet;techant13870;120
3092139_PosVan;techant13873;120
1517408_TempRet;techant12650;120
1517408_PosVan;techant12653;120
1517454_TempRet;techant18395;120
1517454_PosVan;techant18398;120
160001213_TempRet;techant669;120
160001213_PosVan;techant20543;120
160001217_TempRet;techant672;120
160001217_PosVan;techant28328;120
3091384_TempRet;techant964;120
3091384_PosVan;techant28347;120
3091382_TempRet;techant960;120
3091382_PosVan;techant28822;120
160001211_TempRet;techant662;120
160001211_PosVan;techant33382;120
3091209_TempRet;techant957;120
3091209_PosVan;techant33401;120
235005964_TempRet;techant19475;120
235005964_PosVan;techant19484;120
235005964_PosVan;techant19485;120
235005964_PosVan;techant19486;120
1517373_TempRet;techant7729;120
1517373_PosVan;techant7736;120
1517430_TempRet;techant18429;120
1517430_PosVan;techant18432;120
191858179_TempRet;techant18921;120
191858179_PosVan;techant18924;120
235557798_TempRet;techant10914;120
235557798_PosVan;techant10917;120
1511887_TempRet;techant21124;120
1511135_TempRet;techant3651;120
1511135_PosVan;techant3654;120
191857385_TempRet;techant22158;120
235557417_TempRet;techant5852;120
235557417_PosVan;techant5856;120
235005988_TempRet;techant5880;120
235005988_PosVan;techant5883;120
235005374_TempRet;techant21391;120
235005374_PosVan;techant21398;120
1517366_TempRet;techant9514;120
1517366_PosVan;techant9517;120
190508008_TempRet;techant768;120
190508008_PosVan;techant20618;120
190619749_TempRet;techant5905;120
190619749_PosVan;techant5912;120
1511261_TempRet;techant13911;120
1511261_PosVan;techant13914;120
190614214_TempRet;techant18457;120
190614214_PosVan;techant18460;120
190207496_TempRet;techant6559;120
190207496_PosVan;techant6562;120
235004466_TempRet;techant845;120
235004466_PosVan;techant24876;120
1511432_TempRet;techant659;120
1511432_PosVan;techant36822;120
9081156_TempRet;techant9550;120
9081156_PosVan;techant9553;120
1510739_TempRet;techant6825;120
1510739_PosVan;techant6828;120
1510741_TempRet;techant6890;120
1510741_PosVan;techant6893;120
1510743_TempRet;techant6918;120
1510743_PosVan;techant6924;120
1510744_TempRet;techant21430;120
1510744_PosVan;techant21444;120
191876560_TempRet;techant822;120
191876560_PosVan;techant36839;120
191858180_TempRet;techant20420;120
191858180_PosVan;techant20424;120
3091168_TempRet;techant9577;120
3091168_PosVan;techant9580;120
190607088.b_TempRet;techant1727;120
190607088.b_PosVan;techant1730;120
502172326_TempRet;techant9609;120
502172326_PosVan;techant9612;120
1511305_TempRet;techant17953;120
1511305_PosVan;techant17960;120
190051816_TempRet;techant5966;120
190051816_PosVan;techant5969;120
9015353_TempRet;techant5998;120
9015353_PosVan;techant6004;120
3091338_TempRet;techant16523;120
3091338_PosVan;techant16526;120
3091339_TempRet;techant21478;120
3091339_PosVan;techant21484;120
3091330_TempRet;techant23367;120
3091330_PosVan;techant23373;120
1510482_TempRet;techant9638;120
1510482_PosVan;techant9641;120
1510640_TempRet;techant9669;120
1510640_PosVan;techant9672;120
235003643_TempRet;techant20474;120
235003643_PosVan;techant20477;120
1510646_TempRet;techant9706;120
1510646_PosVan;techant9709;120
3091364_TempRet;techant13948;120
3091364_PosVan;techant13951;120
1517649_TempRet;techant13983;120
1517649_PosVan;techant13990;120
1517650_TempRet;techant14016;120
1517650_PosVan;techant14020;120
1517651_TempRet;techant14052;120
1517651_PosVan;techant14055;120
1517652_TempRet;techant14092;120
1517652_PosVan;techant14095;120
1511098_TempRet;techant9742;120
1511098_PosVan;techant9745;120
3091347_TempRet;techant20509;120
3091347_PosVan;techant20512;120
3091345_TempRet;techant20588;120
3091345_PosVan;techant20591;120
1511260_TempRet;techant18958;120
1511260_PosVan;techant18961;120
3091245_TempRet;techant7535;120
3091245_PosVan;techant7539;120
3091386_TempRet;techant10944;120
3091386_PosVan;techant10950;120
1511288_TempRet;techant9775;120
1511288_PosVan;techant9780;120
1511810_TempRet;techant10984;120
1511810_PosVan;techant10987;120
235002243_TempRet;techant20639;120
235002243_PosVan;techant20652;120
160003652_TempRet;techant20704;120
160003652_PosVan;techant20711;120
235001878_TempRet;techant20745;120
235001878_PosVan;techant20748;120
235002858_TempRet;techant20795;120
235002858_PosVan;techant20798;120
191966656_TempRet;techant11013;120
191966656_PosVan;techant11016;120
191955715_TempRet;techant9816;120
191955715_PosVan;techant9822;120
3091141_TempRet;techant22096;120
1511149_TempRet;techant11045;120
1511149_PosVan;techant11051;120
191977459_TempRet;techant9859;120
191977459_PosVan;techant9862;120
191732322_TempRet;techant9893;120
191732322_PosVan;techant9896;120
191732333_TempRet;techant9932;120
191732333_PosVan;techant9935;120
191732451_TempRet;techant21534;120
191732451_PosVan;techant21537;120
191732301_TempRet;techant14129;120
191732301_PosVan;techant14133;120
1517315_TempRet;techant14170;120
1517315_PosVan;techant14173;120
160001283_TempRet;techant14207;120
160001283_PosVan;techant14211;120
3092184_TempRet;techant14243;120
3092184_PosVan;techant14249;120
3092181_TempRet;techant14283;120
3092181_PosVan;techant14286;120
3092180_TempRet;techant14316;120
3092180_PosVan;techant14319;120
3092179_TempRet;techant14353;120
3092179_PosVan;techant14357;120
3092197_TempRet;techant14391;120
3092197_PosVan;techant14394;120
1510725_TempRet;techant22312;120
1510725_PosVan;techant22315;120
235004706_TempRet;techant10000;120
235004706_PosVan;techant10003;120
3091187_TempRet;techant16000;120
3091187_PosVan;techant16007;120
3091188_TempRet;techant16049;120
3091188_PosVan;techant16053;120
191986468_TempRet;techant10037;120
191986468_PosVan;techant10040;120
3091363_TempRet;techant14428;120
3091363_PosVan;techant14431;120
3091355_TempRet;techant19040;120
3091355_PosVan;techant19047;120
3091358_TempRet;techant19098;120
3091358_PosVan;techant19101;120
3091357_TempRet;techant14465;120
3091357_PosVan;techant14472;120
1510662_TempRet;techant11115;120
1510662_PosVan;techant11119;120
1510655_TempRet;techant20849;120
1510655_PosVan;techant20856;120
1510639_TempRet;techant15200;120
1510639_PosVan;techant15206;120
1517137_TempRet;techant14506;120
1517137_PosVan;techant14509;120
191977444_TempRet;techant23404;120
191977444_PosVan;techant23414;120
191967959_TempRet;techant21570;120
191967959_PosVan;techant21573;120
1517184_TempRet;techant14543;120
1517184_PosVan;techant14550;120
1511244_TempRet;techant21607;120
1511244_PosVan;techant21610;120
3091361_TempRet;techant14582;120
3091361_PosVan;techant14585;120
1510841_TempRet;techant20901;120
1510841_PosVan;techant20904;120
1510838_TempRet;techant21644;120
1510838_PosVan;techant21647;120
1510837_TempRet;techant21681;120
1510837_PosVan;techant21701;120
1510842_TempRet;techant21734;120
1510842_PosVan;techant21750;120
1510833_TempRet;techant22349;120
1510833_PosVan;techant22352;120
3091304_TempRet;techant12687;120
3091304_PosVan;techant12694;120
3091305_TempRet;techant12726;120
3091305_PosVan;techant12729;120
3091307_TempRet;techant12764;120
3091307_PosVan;techant12767;120
3091308_TempRet;techant12801;120
3091308_PosVan;techant12804;120
3091286_TempRet;techant12843;120
3091286_PosVan;techant12846;120
3091287_TempRet;techant12878;120
3091287_PosVan;techant12884;120
3091288_TempRet;techant12923;120
3091288_PosVan;techant12926;120
3091289_TempRet;techant12961;120
3091289_PosVan;techant12964;120
3091290_TempRet;techant13003;120
3091290_PosVan;techant13006;120
3091291_TempRet;techant13041;120
3091291_PosVan;techant13044;120
3091292_TempRet;techant13083;120
3091292_PosVan;techant13086;120
3091295_TempRet;techant13121;120
3091295_PosVan;techant13125;120
3091296_TempRet;techant15240;120
3091296_PosVan;techant15243;120
3091298_TempRet;techant12521;120
3091298_PosVan;techant12524;120
3091299_TempRet;techant12555;120
3091299_PosVan;techant12558;120
3091293_TempRet;techant13156;120
3091293_PosVan;techant13159;120
3091294_TempRet;techant13194;120
3091294_PosVan;techant13197;120
3091278_TempRet;techant11174;120
3091278_PosVan;techant11177;120
3091280_TempRet;techant14619;120
3091280_PosVan;techant14622;120
502171790_TempRet;techant6675;120
502171790_PosVan;techant6678;120
1511158_TempRet;techant21813;120
1511158_PosVan;techant21817;120
1511163_TempRet;techant14658;120
1511163_PosVan;techant14661;120
1510597_TempRet;techant21848;120
1510597_PosVan;techant21854;120
1510716_TempRet;techant16560;120
1510716_PosVan;techant16567;120
1510703_TempRet;techant17984;120
1510703_PosVan;techant17991;120
190244089_TempRet;techant15270;120
190244089_PosVan;techant15273;120
1511649_TempRet;techant15300;120
1511649_PosVan;techant15306;120
1510685_TempRet;techant15336;120
1510685_PosVan;techant15339;120
1511208_TempRet;techant15369;120
1511208_PosVan;techant15372;120
1510721_TempRet;techant15402;120
1510721_PosVan;techant15405;120
190207600_TempRet;techant701;120
190207600_PosVan;techant21413;120
190207601_TempRet;techant704;120
190207601_PosVan;techant21441;120
235556766_TempRet;techant16095;120
235556766_PosVan;techant16099;120
235556765_TempRet;techant16128;120
235556765_PosVan;techant16135;120
235555180_TempRet;techant15438;120
235555180_PosVan;techant15441;120
190620888_TempRet;techant15463;120
190620888_PosVan;techant15466;120
1510532_TempRet;techant15496;120
1510532_PosVan;techant15499;120
192008607_TempRet;techant19136;120
192008607_PosVan;techant19143;120
1510732_TempRet;techant21888;120
1510732_PosVan;techant21895;120
191742188_TempRet;techant20946;120
191742188_PosVan;techant20949;120
1510625_TempRet;techant20990;120
1510625_PosVan;techant20993;120
1517338_TempRet;techant21025;120
1517338_PosVan;techant21029;120
3091405_TempRet;techant6721;120
3091405_PosVan;techant6726;120
3091404_TempRet;techant6870;120
3091404_PosVan;techant11753;120
1510740_TempRet;techant16600;120
1510740_PosVan;techant16603;120
1517139_TempRet;techant14735;120
1517139_PosVan;techant14742;120
1511428_TempRet;techant18026;120
1511428_PosVan;techant18029;120
191984796_TempRet;techant21921;120
191984796_PosVan;techant21924;120
1511228_TempRet;techant18494;120
1511228_PosVan;techant18497;120
1511122_TempRet;techant18527;120
1511122_PosVan;techant18531;120
1510686_TempRet;techant18059;120
1510686_PosVan;techant18062;120
3091118_TempRet;techant18125;120
3091118_PosVan;techant18128;120
1511166_TempRet;techant18158;120
1511166_PosVan;techant18161;120
